HUD frame time nsec:,5665000

Range Index,Elapsed Time, First Event,Last Event
0,14528,4,4
1,7456,6,6
2,1636000,13,13
3,1653568,22,22
4,1644864,31,31
5,1638016,40,40
6,1661056,49,49
7,1641088,58,58
8,1648512,67,67
9,1632384,76,76
10,1638368,85,85
11,1637440,94,94
12,16000,100,100
13,11968,115,115
14,26944,123,123
15,46112,128,128
16,69728,133,133
17,11712,183,183
18,3648,186,186
19,4406784,203,203
