HUD frame time nsec:,7174000

Range Index,Elapsed Time, First Event,Last Event
0,15136,4,4
1,7360,7,7
2,1782624,15,15
3,1764736,23,23
4,1752480,31,31
5,1754016,39,39
6,1745312,47,47
7,1757184,55,55
8,1745504,63,63
9,1754016,71,71
10,1750624,79,79
11,1757984,87,87
12,15968,93,93
13,935168,104,104
14,17696,112,112
15,9984,117,117
16,72704,122,122
17,11680,172,172
18,3872,175,175
19,643328,192,192
