HUD frame time nsec:,5634000

Range Index,Elapsed Time, First Event,Last Event
0,14496,4,4
1,7328,6,6
2,1659808,13,13
3,1638464,22,22
4,1652736,31,31
5,1651872,40,40
6,1642976,49,49
7,1649312,58,58
8,1642816,67,67
9,1643008,76,76
10,1649824,85,85
11,1642432,94,94
12,16032,100,100
13,12064,111,111
14,26592,119,119
15,51328,124,124
16,69824,129,129
17,12096,179,179
18,3648,182,182
19,746784,199,199
