HUD frame time nsec:,5619000

Range Index,Elapsed Time, First Event,Last Event
0,14816,4,4
1,7328,6,6
2,1654208,13,13
3,1645888,22,22
4,1646240,31,31
5,1640512,40,40
6,1629408,49,49
7,1638528,58,58
8,2976192,67,67
9,1640160,76,76
10,1643264,85,85
11,1643552,94,94
12,15968,100,100
13,12032,111,111
14,12960,119,119
15,9824,124,124
16,69984,129,129
17,11776,179,179
18,3616,182,182
19,1451584,199,199
