HUD frame time nsec:,5610000

Range Index,Elapsed Time, First Event,Last Event
0,14656,4,4
1,7328,6,6
2,1645152,13,13
3,1640672,22,22
4,1644736,31,31
5,1650432,40,40
6,1619712,49,49
7,1639968,58,58
8,1636416,67,67
9,1641664,76,76
10,1638976,85,85
11,1642624,94,94
12,15840,100,100
13,1104512,111,111
14,27872,119,119
15,45536,124,124
16,71968,129,129
17,11456,179,179
18,3520,182,182
19,677216,199,199
