HUD frame time nsec:,5811000

Range Index,Elapsed Time, First Event,Last Event
0,14688,4,4
1,7360,6,6
2,1649536,13,13
3,1650144,22,22
4,1638336,31,31
5,1634656,40,40
6,1640032,49,49
7,1636480,58,58
8,1631648,67,67
9,1644864,76,76
10,1642272,85,85
11,1650752,94,94
12,16032,100,100
13,234784,115,115
14,42784,123,123
15,39808,128,128
16,70432,133,133
17,12192,183,183
18,3648,186,186
19,2519168,203,203
