HUD frame time nsec:,5870000

Range Index,Elapsed Time, First Event,Last Event
0,14752,4,4
1,7488,7,7
2,1633600,14,14
3,1657376,23,23
4,1648032,32,32
5,1637920,41,41
6,1649952,50,50
7,1651520,59,59
8,1649664,68,68
9,1630400,77,77
10,1645920,86,86
11,1626304,95,95
12,16992,101,101
13,218400,112,112
14,35808,120,120
15,48576,125,125
16,72032,130,130
17,11744,180,180
18,3520,183,183
19,762848,200,200
