HUD frame time nsec:,5786000

Range Index,Elapsed Time, First Event,Last Event
0,14688,4,4
1,7136,6,6
2,1638784,13,13
3,1644736,22,22
4,1629728,31,31
5,2805184,40,40
6,1635488,49,49
7,1645952,58,58
8,1636192,67,67
9,1626656,76,76
10,1643520,85,85
11,1650432,94,94
12,16064,100,100
13,252992,111,111
14,34688,119,119
15,47040,124,124
16,71520,129,129
17,11840,179,179
18,3616,182,182
19,629792,199,199
