HUD frame time nsec:,4310000

Range Index,Elapsed Time, First Event,Last Event
0,13952,4,4
1,4032,6,6
2,1513280,13,13
3,1033888,22,22
4,1008256,31,31
5,1020800,40,40
6,1014240,49,49
7,1029152,58,58
8,1020832,67,67
9,1031232,76,76
10,1019168,85,85
11,1016928,94,94
12,9728,100,100
13,33184,104,104
14,1056,154,154
15,1024,157,157
16,604864,174,174
