HUD frame time nsec:,4291000

Range Index,Elapsed Time, First Event,Last Event
0,13984,4,4
1,3776,6,6
2,1540352,13,13
3,1049120,22,22
4,1021728,31,31
5,1031328,40,40
6,1009024,49,49
7,1022880,58,58
8,1014912,67,67
9,1015008,76,76
10,1018240,85,85
11,1018944,94,94
12,9664,100,100
13,33088,104,104
14,1024,154,154
15,1056,157,157
16,1133952,174,174
